timestamp,query,query_category,result_id,app_type,webset_category,search_type,num_results,exa_search_count,exa_sources,exa_domains,exa_tier_a,exa_tier_b,exa_tier_c,exa_traceability,exa_supported,exa_inferences,exa_unsupported,exa_tier_a_claims,exa_tier_b_claims,exa_tier_c_claims,exa_tokens,exa_cost,exa_time_seconds,claude_sources,claude_domains,claude_tier_a,claude_tier_b,claude_tier_c,claude_traceability,claude_supported,claude_inferences,claude_unsupported,claude_tier_a_claims,claude_tier_b_claims,claude_tier_c_claims,claude_tokens,claude_cost,claude_time_seconds
2026-01-19T23:27:36.003903,Verify claims that Meta laid off 15% of its workforce today - find official sources,Fact-Checking & Verification,2026-01-19_23-27-36_7bbec1c4,general,,neural,10,5,48,18,31,4,13,100.0,6,0,0,6,0,0,16141,0.0877,39.58,61,36,6,2,53,100.0,8,0,0,3,0,5,108162,0.3513,61.5
2026-01-19T23:43:34.312543,"Find perspectives on the rail workers strike from labor unions, railroad companies, and government regulators",Source Diversification,2026-01-19_23-43-34_de6f085d,general,,neural,10,11,110,40,72,0,38,94.7,18,1,0,14,0,4,33519,0.1869,86.94,70,38,33,1,36,100.0,27,0,0,18,0,9,136789,0.451,79.62
2026-01-20T00:01:41.472850,"Find perspectives on the rail workers strike from labor unions, railroad companies, and government regulators",Source Diversification,2026-01-20_00-01-41_de6f085d,general,,auto,10,9,90,54,46,1,43,100.0,23,0,0,9,0,14,28376,0.1665,103.91,90,43,46,0,44,94.7,18,1,0,10,0,8,178465,0.5704,78.47
2026-01-20T00:06:38.307383,Build a timeline of Boeing 737 MAX safety concerns from first reports to current FAA statements,Timeline Construction,2026-01-20_00-06-38_b5e4d987,general,,neural,10,7,69,26,53,0,16,100.0,17,0,0,11,0,6,21910,0.1312,77.39,70,38,29,0,41,100.0,28,0,0,11,0,17,145762,0.4872,94.41
2026-01-20T00:16:53.396551,Locate FDA approval documents and clinical trial data for the new Alzheimer's drug,Document Analysis,2026-01-20_00-16-53_b8e09577,general,,neural,10,8,80,29,47,0,33,100.0,21,0,0,11,0,10,26725,0.1604,77.29,100,41,55,0,45,100.0,17,0,0,12,0,5,129795,0.4247,62.47
2026-01-20T00:20:18.217464,Find academic researchers who have published on ChatGPT's impact on education,Expert Source Finding,2026-01-20_00-20-18_954a7c11,general,,neural,10,8,80,37,35,0,45,100.0,17,0,0,5,0,12,23842,0.1401,72.68,100,29,22,0,78,100.0,22,0,0,5,0,17,136185,0.4439,61.74
2026-01-20T00:24:41.777405,Track political donations from crypto executives to members of Congress,Follow-the-Money,2026-01-20_00-24-41_baec95f1,general,,neural,10,9,88,33,37,0,51,100.0,18,0,0,9,0,9,30060,0.1656,74.16,90,43,26,2,62,100.0,25,0,0,11,0,14,153995,0.5156,98.13
2026-01-20T00:28:11.709075,"How does US drug pricing compare to Canada, UK, and Germany for the same medications?",Comparative Reporting,2026-01-20_00-28-11_6513bb21,general,,neural,10,9,88,17,31,0,57,100.0,10,0,0,3,0,7,25529,0.145,64.43,80,40,28,0,52,100.0,19,0,0,6,0,13,166546,0.5423,87.69
2026-01-20T00:31:33.935801,"Are mass shootings increasing? Find FBI, CDC, and academic research data",Trend Analysis,2026-01-20_00-31-33_e748bb4a,general,,neural,10,13,130,25,91,0,39,100.0,14,0,0,6,0,8,38562,0.2068,75.29,70,33,24,0,46,100.0,24,0,0,10,0,14,142718,0.4805,88.07
2026-01-20T00:35:22.680677,Find patterns in police misconduct settlements by department and type of complaint,Investigative Patterns,2026-01-20_00-35-22_98cfae5c,general,,neural,10,8,77,21,44,0,33,100.0,12,0,0,8,0,4,24628,0.1398,71.51,100,43,18,0,82,100.0,26,0,0,12,0,14,175026,0.579,92.83
2026-01-20T00:39:12.710855,"Find perspectives on the rail workers strike from labor unions, railroad companies, and government regulators",Source Diversification,2026-01-20_00-39-12_de6f085d,general,,neural,10,11,110,34,72,2,36,100.0,16,0,0,13,0,3,33477,0.1834,81.37,50,22,22,0,28,100.0,20,0,0,11,0,9,72103,0.25,68.5
2026-01-20T00:43:05.397665,"Get viewpoints on the TikTok ban from civil liberties groups, national security experts, and tech policy researchers",Source Diversification,2026-01-20_00-43-05_c22d07b4,general,,neural,10,12,118,38,44,0,74,100.0,18,0,0,5,0,13,36039,0.1985,84.04,70,35,18,0,52,100.0,22,0,0,9,0,13,146682,0.4816,83.45
2026-01-20T00:46:18.666397,Cross-reference reports about the Federal Reserve emergency meeting - what do official sources say?,Fact-Checking & Verification,2026-01-20_00-46-18_1c15b0e1,general,,neural,10,9,88,7,87,0,1,100.0,6,0,0,6,0,0,23690,0.1313,56.8,83,19,57,0,26,100.0,8,0,0,5,0,3,109961,0.3568,50.02
2026-01-20T01:10:26.702674,Fact-check viral claims that California banned gas stoves - what does the actual legislation say?,Fact-Checking & Verification,2026-01-20_01-10-26_d3bfe337,general,,neural,10,8,80,39,55,0,25,100.0,10,0,0,6,0,4,25494,0.1361,63.01,70,38,12,0,58,100.0,11,0,0,2,0,9,147201,0.4692,60.67
2026-01-20T01:14:40.624088,Compare how conservative and progressive outlets are covering the abortion pill court decision,Source Diversification,2026-01-20_01-14-40_7a075601,general,,neural,10,9,90,33,66,4,20,100.0,19,0,0,12,1,6,28076,0.1576,71.2,69,25,37,0,32,100.0,17,0,0,9,0,8,139231,0.451,68.16
2026-01-20T01:20:53.371749,Track trends in remote work policies among Fortune 500 companies 2020-2024,Trend Analysis,2026-01-20_01-20-53_b5b6d137,general,,neural,10,8,73,34,26,4,43,100.0,19,0,0,7,0,12,24112,0.1432,72.38,90,58,7,1,82,96.0,24,1,0,0,1,23,173455,0.5675,89.15
2026-01-20T01:44:14.959993,Identify companies with repeat OSHA violations in warehouse safety,Investigative Patterns,2026-01-20_01-44-14_9db39bfe,general,,neural,10,9,90,20,81,0,9,100.0,14,0,0,10,0,4,26215,0.1526,73.63,100,45,50,4,46,100.0,18,0,0,7,1,10,159541,0.5194,85.05
2026-01-20T01:50:27.268448,Find patterns in nursing home violations across states before and after COVID,Investigative Patterns,2026-01-20_01-50-27_2222d353,general,,neural,10,14,140,16,124,0,16,100.0,11,0,0,11,0,0,39976,0.2126,75.54,100,46,67,0,33,100.0,22,0,0,12,0,10,119615,0.4059,80.21
2026-01-20T06:03:08.210943,Track corporate diversity hiring trends since George Floyd protests,Trend Analysis,2026-01-20_06-03-08_96f9547f,general,,neural,10,8,74,33,30,0,44,100.0,12,0,0,10,0,2,23254,0.1365,70.32,100,83,17,1,82,100.0,22,0,0,11,0,11,124406,0.4147,82.37
2026-01-20T20:51:08.405532,Identify economists who predicted the 2023 banking crisis in previous papers,Expert Source Finding,2026-01-20_20-51-08_5e8b58b9,general,,neural,10,9,78,28,42,0,36,91.7,11,1,0,6,0,5,23726,0.1415,70.7,90,41,31,0,59,100.0,7,0,0,4,0,3,185272,0.5794,52.39
